year,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium
2015,Blue Earth,.8857525,.28196073,.033053316,.18390708,116.62149,165.42123,132.05508,9.8043766,.96894282
2015,Crow Wing,.56396157,.17795108,.044258222,.07182344,125.34267,167.7657,156.49561,15.754431,1.1561023
2015,Koochiching,.54737866,.034147069,0,.18786351,90.370026,298.56091,292.20261,10.167528,2.524528
2015,Benton,.64282387,.13517666,.053770822,.040792417,128.07301,199.38863,199.56435,13.006777,1.5264118
2015,Faribault,.72302127,.18590179,.13382867,.095752552,104.46276,139.21069,172.38298,19.100662,1.6001143
2015,Wright,.47223222,.10611855,.033494264,.043575507,149.19455,239.16939,243.18457,11.531138,1.6065192
2015,Sherburne,.52267367,.16101462,.023278467,.024042841,146.62434,209.8831,230.59322,11.862366,1.5312185
2015,Carver,.55150956,.32738537,.1379158,.020937305,202.52658,247.82153,270.17773,9.8316584,1.3994526
2015,Le Sueur,.72175974,.074779831,.076435819,.10706075,121.4826,218.20544,171.51625,8.9163122,1.2879627
2015,Mille Lacs,.52730411,.24073863,.041440412,.044839498,122.24249,156.53986,169.946,15.54049,1.4080776
2015,Scott,.52692491,.17476751,.069261223,.015200783,196.76598,266.45868,273.60425,10.562464,1.4482942
2015,Aitkin,.68118143,.0036498054,.02240237,.16047749,105.23385,187.41913,148.36508,15.500192,1.1715387
2015,Waseca,.53454578,.078287005,3.1665101e-16,.054154154,105.31824,143.60838,221.78775,10.714271,1.9371649
2015,Hennepin,.51818854,.36742294,.15972194,.030601857,231.0182,270.5231,290.70389,8.2248373,1.2961987
2015,Freeborn,.49370843,.12016287,.028616205,.031397536,120.04621,179.65594,207.62488,14.230349,1.7068297
2015,Isanti,.38654545,.1931168,.065765448,.031138645,148.99031,198.05133,187.93495,13.22278,1.2278982
2015,Rice,.46170139,.11907103,.032681055,.044162374,132.73438,175.71954,138.40688,8.0225487,.94340694
2015,Kanabec,.97457737,.039561007,2.3156140e-07,.55375719,87.839333,168.35577,157.67392,15.810138,1.2671943
2015,Anoka,.51862252,.24931757,.12234302,.028343286,193.76826,250.22649,251.90099,10.159186,1.3590509
2015,Steele,.80068856,.18419558,.084321991,.070024379,126.4016,205.43742,211.46382,8.1260433,1.6577566
2015,Dakota,.55622625,.28909084,.13695398,.019375905,214.05338,267.89474,281.75534,8.1702604,1.4119818
2015,Ramsey,.4430739,.26970354,.14412622,.045270257,206.10054,263.04803,274.98416,7.7640243,1.3627907
2015,Pine,.375393,.021421982,.050326124,.07440047,116.46663,147.76833,147.48715,18.845682,1.1054766
2015,Chisago,.45435637,.12816641,.048649181,.040640589,143.06735,216.91078,228.53639,11.877884,1.5462575
2015,St. Louis,.54622197,.18547592,.029255705,.1213593,115.22623,163.37286,168.87727,9.6915827,1.2528223
2015,Dodge,.74646246,.10347938,.00029962166,.062287316,126.67679,200.78574,189.92998,15.225819,1.4555217
