county,year,varname,value_b2
Beltrami,2016,AvgCapacity,13.09
Beltrami,2016,CCCShare,.03
Beltrami,2016,HRShare,.12
Beltrami,2016,PublicShare,.09
Beltrami,2017,Weekly Price,105.54
Beltrami,2017,TotCapacity,1553.02
Beltrami,2017,AvgCapacity,13.05
Beltrami,2017,CCCShare,.03
Beltrami,2017,HRShare,.16
Beltrami,2017,PublicShare,.09
Beltrami,2018,Weekly Price,111.75
Beltrami,2018,TotCapacity,1391.82
Beltrami,2018,AvgCapacity,11.8
Beltrami,2018,CCCShare,.03
Beltrami,2018,HRShare,.15
Beltrami,2018,PublicShare,.07
Benton,2012,Weekly Price,112.57
Benton,2012,TotCapacity,1765.38
Benton,2012,AvgCapacity,11.03
Benton,2012,CCCShare,.02
Benton,2012,HRShare,0
Benton,2012,PublicShare,.01
Benton,2013,Weekly Price,115.98
Benton,2013,TotCapacity,1912.59
Benton,2013,AvgCapacity,11.38
Benton,2013,CCCShare,.02
Benton,2013,HRShare,.01
Benton,2013,PublicShare,.01
Benton,2014,Weekly Price,113.87
Benton,2014,TotCapacity,1941.98
Benton,2014,AvgCapacity,11.42
Benton,2014,CCCShare,.02
Benton,2014,HRShare,.02
Benton,2014,PublicShare,.02
Benton,2015,Weekly Price,113.12
Benton,2015,TotCapacity,1757.24
Benton,2015,AvgCapacity,11.19
Benton,2015,CCCShare,.03
Benton,2015,HRShare,.03
Benton,2015,PublicShare,.02
Benton,2016,Weekly Price,121.38
Benton,2016,TotCapacity,1836.88
Benton,2016,AvgCapacity,12.5
Benton,2016,CCCShare,.03
Benton,2016,HRShare,.05
Benton,2016,PublicShare,.02
Benton,2017,Weekly Price,117.97
Benton,2017,TotCapacity,1761.77
Benton,2017,AvgCapacity,12.32
Benton,2017,CCCShare,.04
Benton,2017,HRShare,.06
Benton,2017,PublicShare,.03
Benton,2018,Weekly Price,129.93
Benton,2018,TotCapacity,1816.99
Benton,2018,AvgCapacity,12.36
Benton,2018,CCCShare,.03
Benton,2018,HRShare,.07
Benton,2018,PublicShare,.04
Big Stone,2012,Weekly Price,82.48
Big Stone,2012,TotCapacity,185.73
Big Stone,2012,AvgCapacity,9.779999999999999
Big Stone,2012,CCCShare,0
Big Stone,2012,HRShare,0
Big Stone,2012,PublicShare,.11
Big Stone,2013,Weekly Price,89.36
Big Stone,2013,TotCapacity,196.93
Big Stone,2013,AvgCapacity,9.85
Big Stone,2013,CCCShare,0
Big Stone,2013,HRShare,.1
Big Stone,2013,PublicShare,.1
Big Stone,2014,Weekly Price,87.78
Big Stone,2014,TotCapacity,193.63
Big Stone,2014,AvgCapacity,10.19
Big Stone,2014,CCCShare,0
Big Stone,2014,HRShare,.11
Big Stone,2014,PublicShare,.11
Big Stone,2015,Weekly Price,85.76000000000001
Big Stone,2015,TotCapacity,197.16
Big Stone,2015,AvgCapacity,10.38
Big Stone,2015,CCCShare,0
Big Stone,2015,HRShare,.11
Big Stone,2015,PublicShare,.11
Big Stone,2016,Weekly Price,95.88
Big Stone,2016,TotCapacity,198
Big Stone,2016,AvgCapacity,11
Big Stone,2016,CCCShare,0
Big Stone,2016,HRShare,.17
Big Stone,2016,PublicShare,.17
Big Stone,2017,Weekly Price,85.79000000000001
Big Stone,2017,TotCapacity,182.2
Big Stone,2017,AvgCapacity,9.59
Big Stone,2017,CCCShare,0
Big Stone,2017,HRShare,.11
Big Stone,2017,PublicShare,.11
Big Stone,2018,Weekly Price,89.59
Big Stone,2018,TotCapacity,213.87
Big Stone,2018,AvgCapacity,10.18
Big Stone,2018,CCCShare,0
Big Stone,2018,HRShare,.1
Big Stone,2018,PublicShare,.1
Blue Earth,2012,Weekly Price,114.41
Blue Earth,2012,TotCapacity,3163.74
Blue Earth,2012,AvgCapacity,15.74
Blue Earth,2012,CCCShare,.07
Blue Earth,2012,HRShare,0
Blue Earth,2012,PublicShare,.01
Blue Earth,2013,Weekly Price,118.29
Blue Earth,2013,TotCapacity,3166.15
Blue Earth,2013,AvgCapacity,15.83
Blue Earth,2013,CCCShare,.07
Blue Earth,2013,HRShare,.03
Blue Earth,2013,PublicShare,.01
Blue Earth,2014,Weekly Price,117.63
Blue Earth,2014,TotCapacity,3254.07
Blue Earth,2014,AvgCapacity,17.31
Blue Earth,2014,CCCShare,.1
Blue Earth,2014,HRShare,.06
Blue Earth,2014,PublicShare,.03
Blue Earth,2015,Weekly Price,119.05
Blue Earth,2015,TotCapacity,3096.08
Blue Earth,2015,AvgCapacity,17.2
Blue Earth,2015,CCCShare,.11
Blue Earth,2015,HRShare,.07
Blue Earth,2015,PublicShare,.03
Blue Earth,2016,Weekly Price,124.98
Blue Earth,2016,TotCapacity,2880.2
Blue Earth,2016,AvgCapacity,18.58
Blue Earth,2016,CCCShare,.12
Blue Earth,2016,HRShare,.1
Blue Earth,2016,PublicShare,.06
Blue Earth,2017,Weekly Price,114.2
Blue Earth,2017,TotCapacity,3096.77
Blue Earth,2017,AvgCapacity,20.92
Blue Earth,2017,CCCShare,.13
Blue Earth,2017,HRShare,.15
Blue Earth,2017,PublicShare,.09
