year,county,Price,Capacity,ShareCCC,ShareHighRated,ShareFCC,SharePublic
2013,Stearns County,112.5,12.2,.046,.018,.947,.007
2013,Freeborn County,104.1,12.1,.027,.013,.96,.013
2013,Crow Wing County,118.7,12.9,.079,.018,.902,.018
2013,Martin County,99,10.9,.014,0,.986,0
2013,Itasca County,101,14.6,.045,.157,.831,.124
2013,McLeod County,109.5,12.5,.03,.038,.9320000000000001,.038
2013,Brown County,101.6,11.8,.035,.017,.957,.009
2013,Wabasha County,119.5,10.7,.027,.014,.959,.014
2013,Cottonwood County,98.3,10.5,.024,.049,.9270000000000001,.049
2013,Roseau County,90.2,10,0,.055,.945,.055
2013,Renville County,100.9,32.5,.019,.038,.942,.038
2013,Koochiching County,106.8,10.2,0,.036,.964,.036
2013,Otter Tail County,106.7,10.5,.025,.019,.957,.019
2013,Fillmore County,101.6,18.5,.052,.052,.897,.052
2013,Douglas County,105.5,12.6,.025,.032,.943,.032
2013,Mower County,111.3,11.2,.04,.02,.94,.02
2013,Todd County,87.7,11.1,0,.091,.909,.091
2013,Cass County,98.2,20.3,.034,.153,.831,.136
2013,Swift County,89.2,11.5,.025,.1,.9,.075
2013,Steele County,110.1,13,.037,.019,.95,.012
2013,Clearwater County,84.59999999999999,11.1,0,.2,.85,.15
2013,Winona County,110.7,12,.047,.034,.9330000000000001,.02
2013,Murray County,90.3,11.1,.034,0,.966,0
2013,Rock County,99.40000000000001,9.699999999999999,0,0,1,0
2013,Pennington County,103.3,10.9,.029,.015,.956,.015
2013,Watonwan County,90.5,13.5,.094,.031,.875,.031
2013,Benton County,116,11.4,.018,.006,.976,.006
2013,Lake County,111,10.6,.056,.056,.889,.056
2013,Goodhue County,125.3,11.4,.046,.015,.9379999999999999,.015
2013,Polk County,105.8,13,.056,.065,.907,.037
2013,Mille Lacs County,113.5,18.2,.07,.053,.912,.018
2013,Nicollet County,120.9,15.3,.086,.032,.914,0
2013,Lincoln County,98.40000000000001,10,0,0,1,0
2013,Stevens County,100.4,11.5,.026,.026,.949,.026
2013,Marshall County,95.40000000000001,10.6,.056,.083,.861,.083
2013,Waseca County,103.2,10.6,.029,.015,.956,.015
2013,Faribault County,85.5,13.5,.067,.1,.833,.1
2013,Chippewa County,91.40000000000001,12.2,.027,.054,.919,.054
2013,Beltrami County,107.4,13.5,.047,.047,.907,.047
2013,Morrison County,101.2,10.4,.025,.025,.958,.017
2013,Sibley County,109.8,9.9,0,.054,.946,.054
2013,Le Sueur County,121.1,10.4,0,.019,.981,.019
2013,Meeker County,100.4,12.9,.043,.065,.913,.043
2013,Nobles County,84.3,11.9,.042,.063,.896,.063
2013,Pope County,100.4,11.5,.051,.051,.897,.051
2013,Dodge County,121.3,11.3,.011,.022,.966,.022
2013,Yellow Medicine County,93.3,10.3,.019,.077,.923,.058
2013,Aitkin County,112.1,12.2,.032,.065,.9350000000000001,.032
2013,Houston County,104.2,10.1,.025,.051,.924,.051
2013,Becker County,109.3,10.9,.016,.172,.9340000000000001,.049
2013,Kanabec County,104.9,22.3,.029,.029,.941,.029
2013,Norman County,88.40000000000001,13.2,.045,.136,.864,.091
2013,Redwood County,99.09999999999999,10.2,.015,.015,.969,.015
2013,Lake of the Woods County,86.90000000000001,10.2,0,.091,.909,.091
2013,Pine County,119,10.1,.016,.066,.967,.016
2013,Hubbard County,105.2,11.3,.038,.077,.942,.019
2013,Traverse County,90,10.7,0,.125,.875,.125
2013,Kandiyohi County,105.2,10.9,.024,.041,.951,.024
2013,Wadena County,95.09999999999999,10.6,.025,.15,.875,.1
2013,Kittson County,83,9.300000000000001,0,.15,.85,.15
2013,Jackson County,97.7,11.6,.05,.025,.925,.025
2013,Red Lake County,76.5,18.6,.042,.125,.833,.125
2013,Wilkin County,96.8,9.199999999999999,0,.036,.964,.036
2013,Pipestone County,100.2,10.6,.026,.026,.949,.026
2013,Lac qui Parle County,87.09999999999999,10.4,0,.095,.905,.095
2013,Grant County,90.8,10.6,0,.15,.85,.15
2013,Big Stone County,89.40000000000001,9.800000000000001,0,.1,.9,.1
2013,Cook County,125.1,10.7,.111,0,.889,0
2013,Carver County,166.6,17.1,.099,.038,.897,.005
2013,Ramsey County,167.9,20.6,.179,.084,.8080000000000001,.013
2013,Wright County,136.3,11.9,.032,.021,.95,.018
2013,Sherburne County,131,12.9,.046,.011,.947,.007
2013,Hennepin County,186.1,24.5,.227,.079,.765,.008
2013,Dakota County,168.3,17.1,.108,.045,.888,.004
