county,year,varname,value_b2
Becker,2018,Cost(Pub),17.97
Becker,2012,Cost(any),107.08
Becker,2013,Cost(any),110.45
Becker,2014,Cost(any),104.16
Becker,2015,Cost(any),107.11
Becker,2016,Cost(any),110.86
Becker,2017,Cost(any),106.99
Becker,2018,Cost(any),112.02
Becker,2012,QualPremium,
Becker,2013,QualPremium,1.13
Becker,2014,QualPremium,1.14
Becker,2015,QualPremium,1.21
Becker,2016,QualPremium,1.04
Becker,2017,QualPremium,1.15
Becker,2018,QualPremium,1.26
Becker,2012,Supply(CCC),.02
Becker,2013,Supply(CCC),.02
Becker,2014,Supply(CCC),.04
Becker,2015,Supply(CCC),.07
Becker,2016,Supply(CCC),.06
Becker,2017,Supply(CCC),.07
Becker,2018,Supply(CCC),.03
Becker,2012,Supply(HR),
Becker,2013,Supply(HR),.08
Becker,2014,Supply(HR),.11
Becker,2015,Supply(HR),.09
Becker,2016,Supply(HR),.12
Becker,2017,Supply(HR),.18
Becker,2018,Supply(HR),.14
Becker,2012,Supply(Pub),.12
Becker,2013,Supply(Pub),.12
Becker,2014,Supply(Pub),.17
Becker,2015,Supply(Pub),.16
Becker,2016,Supply(Pub),.13
Becker,2017,Supply(Pub),.15
Becker,2018,Supply(Pub),.14
Becker,2012,Supply(any),.6
Becker,2013,Supply(any),.64
Becker,2014,Supply(any),.69
Becker,2015,Supply(any),.67
Becker,2016,Supply(any),.6
Becker,2017,Supply(any),.59
Becker,2018,Supply(any),.53
Beltrami,2012,Cost(CCC),240.05
Beltrami,2013,Cost(CCC),171.17
Beltrami,2014,Cost(CCC),193.55
Beltrami,2015,Cost(CCC),178.22
Beltrami,2016,Cost(CCC),168.61
Beltrami,2017,Cost(CCC),332.48
Beltrami,2018,Cost(CCC),208
Beltrami,2012,Cost(HR),
Beltrami,2013,Cost(HR),249.92
Beltrami,2014,Cost(HR),200.66
Beltrami,2015,Cost(HR),158.56
Beltrami,2016,Cost(HR),146.37
Beltrami,2017,Cost(HR),241.63
Beltrami,2018,Cost(HR),139.01
Beltrami,2012,Cost(Pub),78.09999999999999
Beltrami,2013,Cost(Pub),29.44
Beltrami,2014,Cost(Pub),17.1
Beltrami,2015,Cost(Pub),16.59
Beltrami,2016,Cost(Pub),24.29
Beltrami,2017,Cost(Pub),29.96
Beltrami,2018,Cost(Pub),18.06
Beltrami,2012,Cost(any),92.81999999999999
Beltrami,2013,Cost(any),100.84
Beltrami,2014,Cost(any),98.33
Beltrami,2015,Cost(any),93.39
Beltrami,2016,Cost(any),90.40000000000001
Beltrami,2017,Cost(any),90.11
Beltrami,2018,Cost(any),104.27
Beltrami,2012,QualPremium,
Beltrami,2013,QualPremium,2
Beltrami,2014,QualPremium,1.62
Beltrami,2015,QualPremium,1.27
Beltrami,2016,QualPremium,1.11
Beltrami,2017,QualPremium,1.57
Beltrami,2018,QualPremium,1.01
Beltrami,2012,Supply(CCC),.06
Beltrami,2013,Supply(CCC),.08
Beltrami,2014,Supply(CCC),.13
Beltrami,2015,Supply(CCC),.07
Beltrami,2016,Supply(CCC),.05
Beltrami,2017,Supply(CCC),.05
Beltrami,2018,Supply(CCC),.05
Beltrami,2012,Supply(HR),
Beltrami,2013,Supply(HR),0
Beltrami,2014,Supply(HR),.04
Beltrami,2015,Supply(HR),0
Beltrami,2016,Supply(HR),.02
Beltrami,2017,Supply(HR),.03
Beltrami,2018,Supply(HR),.04
Beltrami,2012,Supply(Pub),.21
Beltrami,2013,Supply(Pub),.21
Beltrami,2014,Supply(Pub),.12
Beltrami,2015,Supply(Pub),.14
Beltrami,2016,Supply(Pub),.14
Beltrami,2017,Supply(Pub),.16
Beltrami,2018,Supply(Pub),.1
Beltrami,2012,Supply(any),.62
Beltrami,2013,Supply(any),.64
Beltrami,2014,Supply(any),.62
Beltrami,2015,Supply(any),.55
Beltrami,2016,Supply(any),.52
Beltrami,2017,Supply(any),.52
Beltrami,2018,Supply(any),.47
Benton,2012,Cost(CCC),206.66
Benton,2013,Cost(CCC),197.31
Benton,2014,Cost(CCC),200.77
Benton,2015,Cost(CCC),199.39
Benton,2016,Cost(CCC),204.78
Benton,2017,Cost(CCC),216.38
Benton,2018,Cost(CCC),236.9
Benton,2012,Cost(HR),
Benton,2013,Cost(HR),239.77
Benton,2014,Cost(HR),228.71
Benton,2015,Cost(HR),199.56
Benton,2016,Cost(HR),192.21
Benton,2017,Cost(HR),206.12
Benton,2018,Cost(HR),222.85
Benton,2012,Cost(Pub),40.7
Benton,2013,Cost(Pub),18.91
Benton,2014,Cost(Pub),13.03
Benton,2015,Cost(Pub),13.01
Benton,2016,Cost(Pub),16.54
Benton,2017,Cost(Pub),22.2
Benton,2018,Cost(Pub),12.91
Benton,2012,Cost(any),129.86
Benton,2013,Cost(any),132.05
Benton,2014,Cost(any),129.43
Benton,2015,Cost(any),128.07
Benton,2016,Cost(any),142.79
Benton,2017,Cost(any),143.86
