year,MSA,ED_region,county,itp_avg_price,underSA_cap,pCCC,FCC,public,HR,pq12
2012,0,Southwest,Redwood County,93.167107,9.6651306,0,.96774191,.032258064,0,0
2012,0,Arrowhead,Carlton County,112.83685,14.273586,.059701491,.92537314,.014925373,0,0
2012,0,Headwaters,Hubbard County,102.82137,11.563049,.039215688,.94117647,.019607844,0,0
2012,0,Arrowhead,Koochiching County,100.1591,10.423188,0,.95652175,.043478262,0,0
2012,0,Westcentral,Pope County,93.014267,11.986246,.0625,.875,.0625,0,0
2012,0,Southwest,Pipestone County,94.835617,10.767114,.029411765,.94117647,.029411765,0,0
2012,0,UpperMNvalley,Yellow Medicine County,87.429016,10.561747,.02,.89999998,.079999998,0,0
2012,0,Southcentral,Waseca County,100.20669,10.35356,.026666667,.95999998,.013333334,0,0
2012,0,UpperMNvalley,Lac Qui Parle County,92.073708,9.6833334,0,1,0,0,0
2012,0,Westcentral,Grant County,86.377098,10.080714,0,.85000002,.15000001,0,0
2012,0,EastCentral,Pine County,115.87574,10.235238,.018181818,.96363634,.018181818,0,0
2012,1,EastCentral,Isanti County,128.88783,16.960253,.15217391,.84782606,0,0,0
2012,0,Northwest,Marshall County,87.968719,10.708339,.03125,.875,.09375,0,0
2012,0,EastCentral,Kanabec County,102.23235,22.388397,.029411765,.94117647,.029411765,0,0
2012,0,UpperMNvalley,Big Stone County,82.484596,9.7754383,0,.89473683,.10526316,0,0
2012,0,Southwest,Lincoln County,91.592422,9.7746029,0,1,0,0,0
2012,0,UpperMNvalley,Swift County,86.883018,10.66626,.025641026,.8974359,.07692308,0,0
2012,0,Headwaters,Lake of the Woods County,84.10247,9.9129868,0,.90909094,.090909094,0,0
2012,0,Headwaters,Mahnomen County,81.079269,14.916918,.05882353,.7647059,.17647059,0,0
2012,0,Southwest,Jackson County,91.041313,12.036415,.052631579,.92105263,.02631579,0,0
2012,0,Arrowhead,Aitkin County,108.79449,12.639074,.041666668,.91666669,.041666668,0,0
2012,0,Southcentral,Faribault County,83.245628,13.686427,.068965517,.82758623,.10344828,0,0
2012,0,Northwest,Kittson County,79.464073,9.6611109,0,.83333331,.16666667,0,0
2012,0,Southwest,Rock County,93.308327,9.8956518,0,1,0,0,0
2012,0,Arrowhead,Lake County,105.48579,9.9314356,.06666667,.86666667,.06666667,0,0
2012,0,Westcentral,Traverse County,79.766891,10.269231,0,.84615386,.15384616,0,0
2012,0,UpperMNvalley,Lac qui Parle County,74.307281,11.148485,0,.81818181,.18181819,0,0
2013,0,Headwaters,Mahnomen County,87.133392,14.682645,.055555556,.77777779,.16666667,.44444445,.55555558
2013,0,Arrowhead,Saint Louis County,117.22948,15.884048,.095628418,.85792351,.046448089,.062841527,.93715847
2013,0,Southern,Olmsted County,142.77589,14.440672,.050724637,.92753625,.021739131,.056159422,.94384056
2013,0,Southcentral,Blue Earth County,118.2947,15.830772,.07,.91500002,.015,.025,.97500002
2013,0,Southwest,Lyon County,106.76361,12.345229,.039370079,.94488192,.015748031,.015748031,.98425198
2013,0,Arrowhead,Carlton County,116.42947,14.752564,.078947365,.90789473,.013157895,.039473683,.96052629
2013,0,Southern,Rice County,128.59856,11.720927,.041916169,.9461078,.011976048,.017964073,.98203593
2013,0,Westcentral,Clay County,115.68633,13.135012,.048309177,.93719804,.014492754,.019323671,.98067635
2013,0,Central,Stearns County,112.48122,12.19992,.045787547,.94688642,.0073260074,.018315019,.98168498
2013,0,Southeast,Freeborn County,104.13168,12.137376,.026666667,.95999998,.013333334,.013333334,.98666668
2013,0,NorthCentral,Crow Wing County,118.74752,12.898005,.079268292,.902439,.018292682,.018292682,.98170733
2013,0,Southcentral,Martin County,98.989006,10.922544,.014285714,.98571426,0,0,1
2013,0,Arrowhead,Itasca County,101.03312,14.628222,.044943821,.83146065,.12359551,.15730338,.84269661
2013,0,Southwestcentral,McLeod County,109.51749,12.528792,.030303031,.93181819,.037878789,.037878789,.96212119
2013,0,Southcentral,Brown County,101.64975,11.80135,.034782607,.95652175,.0086956518,.017391304,.98260868
2013,0,Southern,Wabasha County,119.50908,10.657622,.027027028,.95945948,.013513514,.013513514,.98648649
2013,0,Southwest,Cottonwood County,98.304054,10.459352,.024390243,.92682928,.048780486,.048780486,.9512195
2013,0,Northwest,Roseau County,90.210159,10.010959,0,.94520545,.05479452,.05479452,.94520545
2013,0,Southwestcentral,Renville County,100.93497,32.451687,.01923077,.94230771,.03846154,.03846154,.96153843
2013,0,Arrowhead,Koochiching County,106.75012,10.236905,0,.96428573,.035714287,.035714287,.96428573
2013,0,Westcentral,Otter Tail County,106.70286,10.450422,.024691358,.95679015,.018518519,.018518519,.98148149
2013,0,Southeast,Fillmore County,101.64257,18.480011,.05172414,.89655173,.05172414,.05172414,.94827586
2013,0,Westcentral,Douglas County,105.4902,12.599814,.025316456,.94303799,.03164557,.03164557,.9683544
2013,0,Southern,Mower County,111.34699,11.234124,.039999999,.94,.02,.02,.98000002
2013,0,NorthCentral,Todd County,87.71656,11.063117,0,.90909094,.090909094,.090909094,.90909094
2013,0,NorthCentral,Cass County,98.190979,20.299929,.033898305,.83050847,.13559322,.15254237,.84745765
2013,0,UpperMNvalley,Swift County,89.247231,11.492104,.025,.89999998,.075000003,.1,.89999998
2013,0,Southern,Steele County,110.13345,13.037028,.037267081,.95031059,.01242236,.018633541,.98136646
2013,0,Headwaters,Clearwater County,84.589394,11.055238,0,.85000002,.15000001,.2,.80000001
2013,0,Southern,Winona County,110.68305,12.015289,.046979867,.93288589,.020134227,.033557046,.96644294
2013,0,Southwest,Murray County,90.268845,11.064828,.034482758,.96551722,0,0,1
2013,0,Southwest,Rock County,99.37188,9.7299995,0,1,0,0,1
2013,0,Northwest,Pennington County,103.28407,10.925935,.029411765,.95588237,.014705882,.014705882,.9852941
2013,0,Southcentral,Watonwan County,90.486023,13.54037,.09375,.875,.03125,.03125,.96875
2013,0,Central,Benton County,115.97701,11.384486,.017857144,.97619045,.0059523811,.0059523811,.99404764
2013,0,Arrowhead,Lake County,111.04769,10.648418,.055555556,.8888889,.055555556,.055555556,.94444442
2013,0,Southeast,Goodhue County,125.32159,11.448118,.046153847,.93846154,.015384615,.015384615,.98461539
2013,0,Northwest,Polk County,105.76524,12.978641,.055555556,.9074074,.037037037,.064814813,.93518519
2013,0,EastCentral,Mille Lacs County,113.48139,18.22566,.070175439,.91228068,.01754386,.052631579,.94736844
2013,0,Southcentral,Nicollet County,120.91534,15.303443,.086021505,.91397852,0,.032258064,.96774191
2013,0,Southwest,Lincoln County,98.395279,9.9708338,0,1,0,0,1
2013,0,Westcentral,Stevens County,100.38149,11.499259,.025641026,.94871795,.025641026,.025641026,.97435898
2013,0,Northwest,Marshall County,95.44223,10.563779,.055555556,.8611111,.083333336,.083333336,.91666669
2013,0,Southcentral,Waseca County,103.20538,10.632604,.029411765,.95588237,.014705882,.014705882,.9852941
2013,0,Southcentral,Faribault County,85.529739,13.473546,.06666667,.83333331,.1,.1,.89999998
2013,0,UpperMNvalley,Chippewa County,91.4394,12.183115,.027027028,.91891891,.054054055,.054054055,.94594592
2013,0,Headwaters,Beltrami County,107.39446,13.45083,.046511628,.90697676,.046511628,.046511628,.95348835
2013,0,NorthCentral,Morrison County,101.23721,10.447372,.025,.95833331,.016666668,.025,.97500002
2013,0,Southcentral,Sibley County,109.76385,9.8672619,0,.9464286,.053571429,.053571429,.9464286
2013,0,Southcentral,Le Sueur County,121.14367,10.384004,0,.98058254,.019417476,.019417476,.98058254
2013,0,Southwestcentral,Meeker County,100.39133,12.873745,.043478262,.9130435,.043478262,.065217391,.93478262
