cty_gisjoin,county,co_adj_supply_any,co_adj_supply_ccc,co_adj_supply_fcc,co_adj_supply_public,co_adj_supply_lr,co_adj_supply_hr,co_drive_time_any,co_drive_time_ccc,co_drive_time_fcc,co_drive_time_public,co_drive_time_lr,co_drive_time_hr,co_price_any,co_price_ccc,co_price_fcc,co_price_public,co_price_lr,co_price_hr,co_totcost_any,co_totcost_ccc,co_totcost_fcc,co_totcost_public,co_totcost_lr,co_quality_premium
G2701250,Red Lake County,1.595021,.09904407,.59214514,.90383178,.64368409,.047505137,4.4132981,16.511145,4.4515071,6.5048904,4.3069468,16.529001,73.180145,100,92.394196,0,91.702995,114,80.535645,127.51857,99.813377,10.841484,98.881241,1.4512427
G2701730,Yellow Medicine County,.75997514,.070247941,.60605127,.083675876,.61260241,.063696802,6.0076003,20.566221,6.0214639,12.532687,6.0178428,19.941271,88.060356,112.23885,96.056168,0,96.198158,79.885124,98.073021,146.51588,106.09194,20.887814,106.22789,1.1095266
G2701110,Otter Tail County,.4789497,.034281068,.36579013,.078878514,.39170977,.0083614234,6.3211465,17.105072,6.3485322,8.858654,6.3890042,18.677076,92.092522,135.28116,108.54141,0,110.60432,112.86227,102.62776,163.78961,119.1223,14.764424,121.25266,1.2017874
G2701350,Roseau County,.66821063,0,.57543594,.092774682,.57543594,0,7.0696826,112.4572,7.0564456,10.047754,7.0638266,70.600761,82.251129,131.23256,95.18911,0,95.196892,87.158142,94.033936,318.66122,106.94985,16.746258,106.96993,1.9307359
G2701490,Stevens County,.79444999,.08155939,.59014773,.12274286,.59014773,.08155939,4.7920017,12.947645,4.7688498,5.8443995,4.7688498,12.947645,80.183907,106,93.677254,0,93.677254,106,88.170578,127.57941,101.62534,9.7406654,101.62534,1.2624282
G2700050,Becker County,.67100346,.070445463,.44195884,.15859917,.42417705,.088227257,7.4667764,18.072371,7.487196,10.916927,8.1694441,12.05453,94.667229,168.02744,112.71574,0,114.80714,134.30234,107.11186,198.14806,125.1944,18.19488,128.42288,1.2147795
G2700510,Grant County,.53218502,0,.33773378,.19445123,.31288397,.02484978,5.6352191,34.684959,5.609026,10.947523,5.7072082,19.23526,81.733627,133.14667,106.25299,0,106.67908,106.37526,91.125656,190.95493,115.60137,18.245872,116.19109,1.2144012
G2701510,Swift County,.76841253,.10921621,.56868947,.090506896,.56868947,.10921621,6.5334468,27.657005,6.4149151,21.207186,6.4254084,27.487366,80.553795,86.328186,99.005745,0,99.213509,75.870857,91.442871,132.4232,109.69727,35.34531,109.92252,1.1190341
G2700830,Lyon County,.90870631,.16499309,.6196633,.12404988,.77809,.0065664002,3.6979334,9.6089544,3.7331433,4.538763,3.7395132,28.688946,93.09623,115.79165,105.74361,0,107.38535,91.318993,99.259453,131.80658,111.96552,7.5646048,113.61787,1.2310812
G2701010,Murray County,.7285794,.15133156,.5243181,.052929737,.67564964,0,9.7234764,16.824299,9.6930647,14.926255,9.520586,50.085148,90.737923,123.58823,94.657913,0,100.01839,85.955879,106.94372,151.62874,110.81302,24.877092,115.88602,1.478194
